"Related Products, Up-Sells, Cross-Sells and Service","สินค้าที่เกี่ยวข้อง, เพิ่มยอดขาย, ขายข้ามหมวดหมู่ และการบริการ"
"Custom type products are shown to customers in addition to the item the customer is looking at.","สินค้าประเภทกำหนดเองจะแสดงให้ลูกค้าเห็นนอกเหนือจากสินค้าที่ลูกค้ากำลังมองหา"
"Add Service Products","เพิ่มสินค้าประเภทบริการ"
"Service Products","สินค้าบริการ"
"Add to Cart","หยิบใส่รถเข็น"
"Qty","จำนวน"
"Related Products","สินค้าที่เกี่ยวข้อง"
"The total quantity is limited, not exceeding the number of main products.","จำนวนถูกจำกัดไว้ไม่ให้เกินจำนวนของสินค้าหลัก"
"SKU","SKU"
"ID","ID"
"Thumbnail","ภาพขนาดย่อ"
"Name","ชื่อ"
"Attribute Set","ชุดคุณสมบัติ"
"AttributeSetText","ชื่อชุดคุณสมบัติ"
"Status","สถานะ"
"StatusText","คำอธิบายสถานะ"
"Type","ประเภท"
"Price","ราคา"
"You are not allowed to purchase more service items than main products","ท่านไม่สามารถซื้อจำนวนบริการมากกว่าสินค้าค้าหลักได้"
